Title,Length,Number of Ratings
A Fire in the Sky,11 hrs and 16 mins,120
The Ship Beneath the Ice,11 hrs and 57 mins,120
Blood Orange,11 hrs and 46 mins,120
The Pivot Year,5 hrs and 14 mins,120
The Wedding Witch,6 hrs and 30 mins,119
Real Self-Care,6 hrs and 15 mins,119
Up Home,6 hrs and 51 mins,118
Within Arm's Reach,11 hrs and 52 mins,117
Talking at Night,13 hrs and 17 mins,117
The Man I Never Met,10 hrs and 18 mins,116
Only Love Can Hurt Like This,9 hrs and 49 mins,114
Totality,4 hrs and 41 mins,113
Late Bloomers,12 hrs and 14 mins,113
Gilt,10 hrs and 37 mins,112
Best Men,10 hrs,111
The Great Santini,18 hrs and 4 mins,110
Everything We Never Said,9 hrs and 14 mins,109
Petals on the River,18 hrs and 8 mins,109
The Mutual Friend,15 hrs and 56 mins,109
The Love Everybody Wants,5 hrs and 39 mins,109
The Dare,8 hrs and 2 mins,108
The Last Campaign,15 hrs and 40 mins,108
The Liars' Club,14 hrs and 12 mins,107
The Blazing World,19 hrs and 42 mins,106
Our Gen,7 hrs,106
If You Lie,8 hrs and 29 mins,105
Marmee,14 hrs and 18 mins,104
The House on Biscayne Bay,8 hrs and 49 mins,103
By All Means Available,20 hrs and 39 mins,102
Americanah,18 hrs and 44 mins,102
An Irish Bookshop Murder,8 hrs and 25 mins,101
The Kiss Countdown,10 hrs and 25 mins,101
Black American Refugee,9 hrs and 42 mins,101
For You When I Am Gone,5 hrs and 2 mins,98
That Summer Feeling,8 hrs and 48 mins,96
Ryan in UnWonderland,7 hrs and 34 mins,93
Reborn,10 hrs and 26 mins,91
Her Last Affair,10 hrs and 51 mins,91
Glory,16 hrs and 10 mins,90
That Summer in Berlin,14 hrs and 50 mins,89
On the Origin of Time,12 hrs and 10 mins,89
"The Good, the Bad, and the Aunties",9 hrs and 23 mins,89
Serpent Mage,16 hrs and 16 mins,89
The Wake-Up Call,10 hrs and 17 mins,89
Us Dark Few,11 hrs and 58 mins,88
Medusa's Sisters,13 hrs and 59 mins,88
Summer Fridays,13 hrs and 7 mins,88
The Swell,11 hrs and 8 mins,87
Lessons for Living,4 hrs and 35 mins,86
What the Hex,9 hrs and 46 mins,85
White Trash,14 hrs and 26 mins,84
Rogue Community College,9 hrs and 24 mins,83
It's On Me,6 hrs and 38 mins,83
Finding Ultra (Revised and Updated Edition),9 hrs and 43 mins,82
Local Gone Missing,10 hrs and 19 mins,82
The Hand of Chaos,18 hrs and 27 mins,82
The Highlander's Return,10 hrs and 8 mins,81
Seven Summers,11 hrs and 1 min,81
The Queen of Dirt Island,6 hrs and 45 mins,80
Girls and Their Horses,9 hrs and 58 mins,80
You Can Trust Me,9 hrs and 36 mins,80
Hunting the Falcon,17 hrs and 9 mins,80
Sensitive,7 hrs and 22 mins,79
Regenesis,9 hrs and 29 mins,78
The Mars House,18 hrs and 31 mins,78
The Paris Showroom,12 hrs and 35 mins,77
The Ruin of All Witches,11 hrs and 4 mins,77
Better than Fiction,8 hrs and 47 mins,77
"Please, Sorry, Thanks",4 hrs and 36 mins,77
The Puzzler,9 hrs and 18 mins,76
The Experience Machine,8 hrs and 36 mins,75
First Do No Harm,7 hrs and 1 min,75
The Devil's Playground,12 hrs and 20 mins,75
The Last Lifeboat,10 hrs and 27 mins,74
Lazy Love,7 hrs and 53 mins,74
Hijacking Bitcoin,7 hrs and 38 mins,74
Becoming Kin,5 hrs and 24 mins,74
The Little Book of Aliens,8 hrs and 19 mins,73
The Haters,9 hrs and 48 mins,73
Come Love a Stranger,14 hrs and 39 mins,73
Marvel: What If...Loki Was Worthy?,11 hrs and 33 mins,73
The Wealth of Shadows,12 hrs and 49 mins,72
The Traitor,9 hrs,72
Normal Rules Don't Apply,5 hrs and 37 mins,71
Star Wars: The High Republic: Beware the Nameless,6 hrs and 32 mins,71
Shit Cassandra Saw,6 hrs and 26 mins,70
When the World Didn't End,9 hrs and 50 mins,69
Love at First Book,9 hrs and 49 mins,66
The Witch and the Tsar,13 hrs and 56 mins,64
Call to Armor,6 hrs and 45 mins,64
The Fellowship of Puzzlemakers,11 hrs and 52 mins,63
How She Did It,8 hrs and 57 mins,63
Rival Darling,9 hrs and 59 mins,61
The Witch of Colchis,15 hrs and 24 mins,61
The Mermaid of Black Conch,7 hrs and 36 mins,61
The December Market,7 hrs and 38 mins,61
Life Worth Living,9 hrs and 21 mins,61
So Worthy My Love,22 hrs,60
Sally's Lament,8 hrs and 27 mins,60
Her Good Side,7 hrs and 12 mins,60
Hope for Cynics,7 hrs and 52 mins,60
A Darkness Returns,19 hrs and 29 mins,59
The Only Technical Analysis Book You Will Ever Need,4 hrs,59
The Mad Girls of New York,10 hrs and 30 mins,59
A Life Impossible,11 hrs and 38 mins,58
The Mamas,8 hrs and 4 mins,58
Sisterhood Heals,8 hrs and 25 mins,58
The Last Hero,23 hrs and 35 mins,57
Seth the Abyssal Assassin: Book 1,11 hrs and 12 mins,57
The Enchanters,19 hrs and 8 mins,55
Three Holidays and a Wedding,9 hrs and 52 mins,55
In It to Win It,9 hrs and 3 mins,55
"Sorry, Bro",10 hrs and 19 mins,55
The Wild Huntress,11 hrs and 49 mins,55
Strange Beasts,12 hrs and 53 mins,55
The Dollmakers,12 hrs and 13 mins,54
Take What You Need,5 hrs and 49 mins,53
Flirting with the Beast,10 hrs,53
The Autistic Brain,7 hrs and 51 mins,53
The Ultimate Guide to Financial Literacy for Kids,3 hrs and 26 mins,52
The Tatami Galaxy,8 hrs and 44 mins,52
We Should Not Be Friends,9 hrs and 43 mins,52
Hidden Mountains,6 hrs and 47 mins,52
Do I Know You?,9 hrs and 32 mins,52
Inventor of the Future,18 hrs and 4 mins,51
Enchanted to Meet You,10 hrs and 7 mins,51
The Earth Transformed,29 hrs and 11 mins,50
A Sliver of Darkness,8 hrs and 17 mins,49
Wired for Story,7 hrs and 59 mins,49
In Royal Service to the Queen,11 hrs and 33 mins,49
The Way Home,5 hrs and 22 mins,49
Everything Is Not Enough,13 hrs and 45 mins,48
New Happy,6 hrs and 42 mins,48
Nosy Neighbors,10 hrs and 55 mins,48
Behind You Is the Sea,6 hrs and 31 mins,47
The Gospel Singer,8 hrs and 26 mins,47
The Disappearance of Astrid Bricard,13 hrs and 8 mins,46
The French Ingredient,7 hrs and 22 mins,46
